chrom_left	start_left	end_left	chrom_right	start_right	end_right	pet counts between left and right anchors	p-value	FDR
chr1	1009057	1010630	chr1	1246096	1247625	2	2.71239e-08	8.91958e-06
chr1	6159825	6162582	chr1	6202902	6205518	2	4.46715e-11	6.6013e-08
chr1	6159828	6162718	chr1	6216767	6219682	8	6.06464e-37	4.03918e-33
chr1	6671857	6673448	chr1	7019504	7021093	2	2.85702e-08	8.91958e-06
chr1	6968847	6972239	chr1	7018314	7021284	5	1.14946e-20	3.75462e-17
chr1	7018308	7021234	chr1	7506598	7509498	7	3.09868e-23	1.17694e-19
chr1	7052905	7054407	chr17	48394708	48396213	2	4.90066e-09	5.22003e-06
chr1	7282204	7284149	chr1	7506768	7509436	3	6.67742e-14	1.34659e-10
chr1	7286399	7290356	chr1	7506621	7509502	4	7.61698e-16	1.76923e-12
chr1	7341225	7344023	chr1	7506646	7509470	4	2.31645e-16	5.61577e-13
chr1	7402441	7405075	chr1	7506659	7509392	2	1.98643e-08	8.91958e-06
chr1	7506592	7508148	chr1	7525732	7528591	2	2.48077e-09	2.78708e-06
chr1	7506650	7509428	chr1	7589134	7590703	2	1.30024e-08	8.91958e-06
chr1	7506651	7509500	chr1	7599601	7602530	5	1.00604e-19	3.10556e-16
chr1	7948562	7950062	chr14	57966446	57968056	2	1.73411e-09	2.00251e-06
chr1	8454280	8457124	chr1	20683576	20685502	2	3.9996e-08	8.91958e-06
chr1	9374218	9375790	chr1	9384701	9387546	2	5.67513e-11	8.26902e-08
chr1	10575169	10576739	chr1	10809893	10812767	2	1.90569e-08	8.91958e-06
chr1	10576524	10578112	chr1	10770683	10772299	3	6.72328e-14	1.35519e-10
chr1	10724435	10726303	chr1	10809964	10811494	2	9.19627e-10	1.12227e-06
chr1	10751290	10752910	chr1	10811240	10812848	2	2.12549e-08	8.91958e-06
chr1	10769322	10772316	chr1	10809904	10812747	5	2.73528e-18	7.68758e-15
chr1	10769350	10772237	chr1	10795718	10797246	2	8.48693e-09	8.57571e-06
chr1	10769352	10772145	chr1	10782818	10786695	3	8.5047e-13	1.5307e-09
chr1	10783744	10785323	chr1	10794558	10797339	2	1.3166e-09	1.55185e-06
chr1	10785232	10789371	chr1	10809895	10811606	3	5.30727e-12	8.6745e-09
chr1	10794633	10797463	chr1	10809924	10812783	5	6.36178e-20	1.98536e-16
chr1	12490392	12493204	chr1	12544433	12548146	3	4.08653e-12	6.77523e-09
chr1	12491611	12493117	chr1	12660265	12662021	2	2.82182e-08	8.91958e-06
chr1	12512794	12515717	chr1	12543493	12548153	6	1.33762e-23	5.16791e-20
chr1	12512822	12516334	chr1	12659055	12661921	4	5.75712e-15	1.26237e-11
chr1	12543915	12548124	chr1	12658888	12662017	18	0	0
chr1	12544043	12546781	chr1	12675863	12677742	2	7.83238e-09	7.98423e-06
chr1	12545269	12547782	chr1	12608685	12611258	3	4.05165e-11	6.01436e-08
chr1	14995064	14997122	chr10	135433407	135436054	2	1.62147e-12	2.81512e-09
chr1	15251166	15254254	chr1	15302501	15305474	7	1.59469e-27	7.34416e-24
chr1	15251224	15254168	chr1	15340976	15343823	3	2.80346e-12	4.73439e-09
chr1	15251287	15254184	chr1	15350723	15353596	5	8.68991e-20	2.69223e-16
chr1	15302389	15305389	chr1	15342086	15343975	4	4.90587e-15	1.07848e-11
chr1	15302539	15305411	chr1	15350730	15353629	9	1.65218e-34	9.83748e-31
chr1	15303817	15305342	chr1	15374984	15376555	2	7.7231e-08	8.91958e-06
chr1	15340979	15345400	chr1	15350729	15354035	13	0	0
chr1	15350759	15353596	chr1	15373867	15376416	2	7.55295e-08	8.91958e-06
chr1	15730406	15733305	chr1	15789711	15791225	2	9.1692e-10	1.11971e-06
chr1	15789486	15791255	chr1	15809573	15811140	2	4.20522e-10	5.45485e-07
chr1	17562601	17565543	chr1	17639795	17643884	16	0	0
chr1	17562620	17564180	chr1	17570625	17573298	2	1.89043e-08	8.91958e-06
chr1	17562667	17564176	chr1	17845843	17848691	2	1.03023e-05	1.33528e-05
chr1	17562700	17565521	chr1	17577112	17578817	2	1.67368e-08	8.91958e-06
chr1	17564055	17565572	chr1	17630630	17632339	2	7.50554e-09	7.69146e-06
chr1	17570548	17573429	chr1	17640066	17642925	2	3.58936e-09	3.92815e-06
chr1	17640030	17641593	chr1	17846953	17848582	2	1.24801e-06	8.91958e-06
chr1	17797973	17799647	chr1	17846965	17848649	3	2.38381e-12	4.06027e-09
chr1	17827901	17829486	chr1	17856016	17857541	2	2.63073e-09	2.94316e-06
chr1	17845680	17848561	chr1	22797736	22799397	2	5.15535e-05	5.4434e-05
chr1	17845730	17848661	chr1	17902771	17905682	8	2.83471e-30	1.45281e-26
chr1	17846958	17848703	chr1	17885047	17888265	4	1.5381e-14	3.28014e-11
chr1	17886377	17889544	chr1	17902914	17905694	3	2.0605e-13	3.9447e-10
chr1	18159635	18162467	chr1	18204139	18206978	4	8.48365e-17	2.13804e-13
chr1	18205515	18207079	chr1	18648388	18651273	2	4.82542e-10	6.18959e-07
chr1	18457367	18460209	chr1	18491680	18494374	2	2.7289e-10	3.64297e-07
chr1	18691037	18694029	chr1	18709388	18712227	4	3.18954e-17	8.33339e-14
chr1	18691315	18694013	chr1	18724645	18726698	2	1.24891e-09	1.47901e-06
chr1	18691601	18693875	chr1	22797893	22799570	2	6.39653e-06	1.0229e-05
chr1	18692303	18693852	chr1	19917900	19920527	2	1.46411e-07	8.91958e-06
chr1	19752234	19755211	chr1	19921804	19923365	2	1.4055e-07	8.91958e-06
chr1	19752271	19753917	chr1	19907406	19910303	2	2.64725e-07	8.91958e-06
chr1	19797260	19798907	chr1	19921874	19924822	6	4.69952e-22	1.68315e-18
chr1	19797271	19800256	chr1	19907377	19910266	10	9.12815e-38	6.21529e-34
chr1	19907341	19910347	chr1	19921751	19924802	23	0	0
chr1	19907376	19910376	chr1	19917635	19921360	16	0	0
chr1	19907447	19910276	chr1	19946367	19947890	2	2.93739e-08	8.91958e-06
chr1	20682544	20684045	chr1	21568301	21571017	2	1.64278e-07	8.91958e-06
chr1	21194894	21196724	chr1	21221424	21224958	4	2.77383e-19	8.32188e-16
chr1	21566808	21569756	chr1	21579889	21582839	8	8.89127e-33	4.92329e-29
chr1	21566823	21569763	chr1	21593791	21596480	3	1.58535e-12	2.75688e-09
chr1	21579966	21582823	chr1	21593747	21596434	2	8.76335e-09	8.82994e-06
chr1	22498102	22500981	chr1	22797806	22800737	2	1.37052e-07	8.91958e-06
chr1	22777560	22782724	chr1	22797850	22800747	6	1.09165e-21	3.82319e-18
chr1	22779784	22782462	chr2	33293993	33296833	2	1.47649e-07	8.91958e-06
chr1	22783951	22785468	chr1	22797862	22800668	2	5.18498e-08	8.91958e-06
chr1	22797647	22800629	chr1	24930872	24933717	2	1.664e-05	1.92291e-05
chr1	22797776	22801221	chr1	22951135	22954090	20	0	0
chr1	22797783	22800730	chr1	22812205	22815204	9	2.3391e-33	1.3297e-29
chr1	22797873	22801291	chr1	22850494	22855086	7	2.58844e-27	1.18188e-23
chr1	22799197	22801058	chr11	45895212	45897471	2	3.3481e-08	8.91958e-06
chr1	24326457	24329436	chr1	24343974	24346990	13	0	0
chr1	24327855	24329375	chr1	24336868	24338424	2	1.06123e-09	1.27766e-06
chr1	24893124	24898584	chr1	24930753	24933666	15	0	0
chr1	24894437	24897124	chr1	24947176	24948817	2	4.1955e-10	5.4442e-07
chr1	24918328	24919829	chr1	24930873	24932554	2	9.54382e-10	1.16015e-06
chr1	24930794	24933731	chr1	24958102	24960967	6	9.78317e-26	4.20184e-22
chr1	25801398	25804468	chr1	25893336	25896576	4	2.83829e-19	8.50928e-16
