chrom_left	start_left	end_left	chrom_right	start_right	end_right	pet counts between left and right anchors	p-value	FDR
chr1	1009057	1010630	chr1	1246096	1247625	2	2.71E-08	8.92E-06
chr1	6159825	6162582	chr1	6202902	6205518	2	4.47E-11	6.60E-08
chr1	6159828	6162718	chr1	6216767	6219682	8	6.06E-37	4.04E-33
chr1	6671857	6673448	chr1	7019504	7021093	2	2.86E-08	8.92E-06
chr1	6968847	6972239	chr1	7018314	7021284	5	1.15E-20	3.75E-17
chr1	7018308	7021234	chr1	7506598	7509498	7	3.10E-23	1.18E-19
chr1	7052905	7054407	chr17	48394708	48396213	2	4.90E-09	5.22E-06
chr1	7282204	7284149	chr1	7506768	7509436	3	6.68E-14	1.35E-10
chr1	7286399	7290356	chr1	7506621	7509502	4	7.62E-16	1.77E-12
chr1	7341225	7344023	chr1	7506646	7509470	4	2.32E-16	5.62E-13
chr1	7402441	7405075	chr1	7506659	7509392	2	1.99E-08	8.92E-06
chr10	130572	132679	chr10	151643	154475	4	7.97E-19	2.32E-15
chr10	134863	136661	chr10	151508	154475	3	3.65E-12	6.08E-09
chr10	134892	137725	chr10	156771	158381	2	3.07E-09	3.39E-06
chr10	136217	137725	chr10	172436	174068	2	1.68E-08	8.92E-06
chr10	151560	154534	chr10	171653	174544	4	7.32E-16	1.70E-12
chr10	156854	158786	chr10	172455	174222	2	1.26E-08	8.92E-06
chr10	407263	408805	chr10	482123	483764	2	8.28E-09	8.38E-06
chr10	460634	462240	chr10	480924	483823	2	5.72E-09	6.01E-06
chr10	777218	778962	chr10	823579	826446	5	1.47E-22	5.41E-19
chr10	3660074	3662477	chr5	19195707	19198368	2	2.14E-10	2.89E-07
chr10	5528813	5530680	chr10	5662168	5663789	3	3.16E-14	6.54E-11
chr10	5529065	5530714	chr10	5700918	5703531	2	1.14E-06	8.92E-06
chr10	5529149	5531824	chr10	5725924	5727651	2	1.38E-08	8.92E-06
chr10	5537255	5540151	chr10	5663673	5665206	2	1.81E-09	2.09E-06
chr10	5537295	5540248	chr10	5700936	5703508	5	1.35E-16	3.37E-13
chr10	5588918	5590450	chr10	5701022	5703324	2	2.01E-07	8.92E-06
chr11	394643	397518	chr11	406855	410010	5	5.19E-21	1.74E-17
chr11	406811	410104	chr11	538554	541270	4	7.89E-16	1.83E-12
chr11	454042	456005	chr11	540019	541520	2	3.21E-09	3.54E-06
chr11	505687	507345	chr11	538674	541420	2	6.54E-09	6.78E-06
chr11	538600	541536	chr11	646658	649245	4	4.89E-17	1.26E-13
chr11	1505938	1508838	chr11	1514785	1517574	4	2.86E-19	8.58E-16
chr11	1670183	1673085	chr11	2188986	2191947	4	9.32E-13	1.66E-09
chr11	1670222	1673206	chr11	1816519	1819418	23	0	0
chr11	1670249	1673103	chr11	1792566	1795431	2	2.76E-07	8.92E-06
chr11	1670282	1673188	chr11	1849130	1852404	4	8.58E-14	1.71E-10
chr11	1670283	1672888	chr11	2213201	2216185	3	4.26E-09	4.59E-06
chr11	1713680	1716168	chr11	1817723	1819393	2	1.78E-07	8.92E-06
chr11	1726638	1728662	chr11	1816696	1819280	2	9.39E-08	8.92E-06
chr11	1790378	1791995	chr11	1816620	1819120	2	2.74E-07	8.92E-06
chr11	1792101	1794062	chr11	1852153	1853656	2	9.03E-08	8.92E-06
chr11	1792166	1795490	chr11	1816482	1819568	27	0	0
chr11	1798052	1800991	chr11	1817780	1819391	4	4.25E-15	9.39E-12
chr11	1816460	1819545	chr11	2188617	2192334	16	4.20E-45	3.34E-41
chr11	1816465	1819471	chr11	1848504	1853789	56	0	0
chr11	1816529	1819441	chr11	2213190	2216213	29	0	0
chr11	1816557	1818086	chr11	2008363	2009928	2	7.30E-08	8.92E-06
chr12	311113	313619	chr5	70926416	70928524	2	1.35E-08	8.92E-06
chr12	563873	566770	chr12	645912	648289	2	6.47E-10	8.06E-07
chr12	565368	566882	chr12	633415	634928	2	3.22E-08	8.92E-06
chr12	588171	590964	chr12	632097	634983	2	4.92E-08	8.92E-06
chr12	621277	624146	chr12	631963	634980	6	3.67E-24	1.47E-20
chr12	632000	635015	chr12	679744	682736	4	5.78E-16	1.35E-12
chr12	705228	706766	chr12	832972	834573	2	1.14E-08	8.92E-06
chr12	771404	774384	chr12	832982	835793	3	2.63E-12	4.46E-09
chr12	1875884	1878711	chr12	1950746	1952257	2	1.26E-08	8.92E-06
chr12	1922163	1924961	chr12	1939620	1941160	2	3.30E-09	3.63E-06
chr12	1922170	1925049	chr12	2040180	2043060	3	6.05E-13	1.10E-09
chr12	1923612	1925642	chr12	1949392	1950963	2	3.07E-09	3.39E-06
chr12	1938207	1941168	chr12	1949388	1952271	5	1.12E-20	3.66E-17
chr12	1939624	1941669	chr12	2040125	2041838	2	2.44E-08	8.92E-06
chr12	1949359	1950994	chr12	2040053	2042904	3	6.79E-12	1.10E-08
chr13	20426131	20427634	chr8	76519489	76520989	2	2.84E-11	4.28E-08
chr13	20594406	20597216	chr13	20616836	20618714	2	3.18E-10	4.20E-07
chr13	23551926	23554773	chr13	23569845	23572693	4	1.01E-17	2.72E-14
chr13	26553180	26556097	chr13	26596764	26598336	3	1.77E-14	3.75E-11
chr13	28134670	28136369	chr20	39715585	39718142	2	5.62E-10	7.10E-07
chr13	29287512	29289162	chr13	29416571	29419322	2	2.09E-10	2.83E-07
chr13	30593943	30595656	chr13	30645084	30646955	2	2.39E-09	2.69E-06
chr13	30594330	30596923	chr13	30682716	30684276	2	1.39E-09	1.63E-06
chr13	30596176	30599073	chr13	30645033	30648325	6	6.39E-26	2.76E-22
chr13	33499493	33501040	chr13	33532492	33535093	2	1.99E-09	2.27E-06
chr13	33918477	33920014	chr13	34215624	34218449	2	4.30E-07	8.92E-06
chr14	103992948	103995747	chr14	104158564	104161336	2	8.09E-07	8.92E-06
chr14	104001533	104003038	chr14	104159771	104161336	2	9.94E-08	8.92E-06
chr14	104091569	104096103	chr14	104158447	104160094	4	3.89E-14	8.00E-11
chr14	104158491	104160253	chr14	104346249	104347983	2	1.03E-06	8.92E-06
chr14	104158501	104161295	chr17	80060467	80063298	2	2.78E-05	3.04E-05
chr14	104158505	104161482	chr14	104202118	104205897	11	2.49E-36	1.61E-32
chr14	104158527	104161460	chr4	3111980	3114908	2	1.12E-05	1.41E-05
chr14	104158534	104161322	chr14	104193784	104196851	5	1.00E-17	2.70E-14
chr14	104158546	104161400	chr14	104269394	104271613	2	6.39E-08	8.92E-06
chr14	104158576	104161395	chr17	56717077	56718672	3	0.0010067	0.00101102
chr14	104158580	104161351	chr14	104312478	104314749	2	2.34E-07	8.92E-06
chr14	104158591	104160119	chr14	104353333	104356295	2	9.14E-07	8.92E-06
chr14	104158610	104161404	chr14	104348177	104352017	3	2.70E-10	3.61E-07
chr14	104159891	104161436	chr7	101614787	101617658	2	0.000136987	0.00014029
chr14	105793770	105795327	chr14	105803546	105806386	2	2.81E-10	3.75E-07
